StateName,Population,PopulationDensity,isDeleted
California,39776830,239.1,
Texas,28704330,96.3,
Florida,21312211,350.6,
New York,19862512,411.2,
Pennsylvania,12823989,283.9,
Illinois,12768320,231.1,
Ohio,11694664,282.3,
Georgia,10545138,168.4,
North Carolina,10390149,196.1,
Michigan,9991177,174.8,
New Jersey,9032872,1195.5,
Virginia,8525660,202.6,
Washington,7530552,101.2,
Arizona,7123898,56.3,
Massachusetts,6895917,839.4,
Tennessee,6782564,153.9,
Indiana,6699629,181,
Missouri,6135888,87.1,
Maryland,6079602,594.8,
Wisconsin,5818049,105,
Colorado,5684203,48.5,
Minnesota,5628162,66.6,
South Carolina,5088916,153.9,
Alabama,4888949,94.4,
Louisiana,4682509,104.9,
Kentucky,4472265,109.9,
Oregon,4199563,39.9,
Oklahoma,3940521,54.7,
Connecticut,3588683,738.1,
Iowa,3160553,54.5,
Utah,3159345,33.6,
Nevada,3056824,24.6,
Arkansas,3020327,56,
Mississippi,2982785,63.2,
Kansas,2918515,34.9,
New Mexico,2090708,17,
Nebraska,1932549,23.8,
West Virginia,1803077,77.1,
Idaho,1753860,19,
Hawaii,1426393,211.8,
New Hampshire,1350575,147,
Maine,1341582,43.1,
Montana,1062330,6.8,
Rhode Island,1061712,1018.1,
Delaware,971180,460.8,
South Dakota,877790,10.7,
North Dakota,755238,9.7,
Alaska,738068,1.2,
District of Columbia,703608,9856.5,
Vermont,623960,67.9,
Wyoming,573720,5.8,
Puerto Rico,3285874,908.6,
